                                        title                                        | year | rating | num_ratings | count 
  3407 | Les convoyeurs attendent                                                                                 | 1999 |    3.8 |         198
  6258 | Les dames du Bois de Boulogne                                                                            | 1945 |    3.8 |         470
 50229 | Les demoiselles de Rochefort                                                                             | 1967 |    3.9 |        1140
  5286 | Les destinées sentimentales                                                                              | 2000 |    3.1 |         243
 62660 | Les deux mondes                                                                                          | 2007 |      0 |           0
  7116 | Les diaboliques                                                                                          | 1955 |    4.1 |        3066
  7461 | Les égarés                                                                                               | 2003 |    3.5 |         542
  2920 | Les enfants du paradis                                                                                   | 1945 |    4.4 |        2292
  5576 | Les enfants du siècle                                                                                    | 1999 |    3.6 |         422
 25960 | Les enfants terribles                                                                                    | 1950 |    3.8 |         405
  2063 | Le septième ciel                                                                                         | 1997 |    3.4 |         192
  5317 | Les filles ne savent pas nager                                                                           | 2000 |    2.9 |         255
  6355 | Les Girls                                                                                                | 1957 |      0 |           0
  4237 | Les glaneurs et la glaneuse                                                                              | 2000 |      4 |         608
  6954 | Les invasions barbares                                                                                   | 2003 |    3.9 |        4434
  3592 | Les maîtres du temps                                                                                     | 1982 |      0 |           0
    73 | Les misérables                                                                                           | 1998 |    3.6 |        7310
   526 | Les nuits fauves                                                                                         | 1992 |      0 |           0
 47274 | Le souffle au coeur                                                                                      | 1971 |      4 |        1029
   199 | Les parapluies de Cherbourg                                                                              | 1964 |    4.1 |        3199
  4377 | Les poupées russes                                                                                       | 2005 |    3.6 |        8145
  2731 | Les quatre cents coups                                                                                   | 1959 |    4.4 |        9787
   807 | Les rendez-vous de Paris                                                                                 | 1995 |    3.6 |         158
  4383 | Les rivières pourpres                                                                                    | 2000 |    3.5 |        3727
 27689 | Les rivières pourpres II - Les anges de l'apocalypse                                                     | 2004 |      0 |           0
   896 | Les roseaux sauvages                                                                                     | 1994 |      4 |         604
  4126 | Less Than Zero                                                                                           | 1987 |    3.4 |        3388
  6773 | Les triplettes de Belleville                                                                             | 2003 |      0 |           0
  5910 | Les uns et les autres                                                                                    | 1981 |        |            
  7209 | Les vacances de Monsieur Hulot                                                                           | 1953 |      4 |        2052
  5088 | Les valseuses                                                                                            | 1974 |      0 |           0
   718 | Les visiteurs                                                                                            | 1993 |    3.7 |        3693
  1415 | Les voleurs                                                                                              | 1996 |    3.4 |         257
   841 | Les yeux sans visage                                                                                     | 1960 |      4 |         785
  8367 | Le temps du loup                                                                                         | 2003 |    3.5 |        1297
 47940 | Le temps qui reste                                                                                       | 2005 |    3.4 |        8681
  3749 | Le temps retrouvé, d'après l'oeuvre de Marcel Proust                                                     | 1999 |    3.6 |         451
 50477 | Le testament d'Orphée, ou ne me demandez pas pourquoi!                                                   | 1960 |      0 |           0
  2000 | Lethal Weapon                                                                                            | 1987 |    3.6 |       33975
  2002 | Lethal Weapon 3                                                                                          | 1992 |    3.2 |       20151
  1918 | Lethal Weapon 4                                                                                          | 1998 |    3.3 |       20840
 32966 | Let Him Have It                                                                                          | 1991 |    3.9 |         381
  2604 | Let It Come Down: The Life of Paul Bowles                                                                | 1998 |      3 |         172
  4617 | Let It Ride                                                                                              | 1989 |      0 |           0
  7274 | Let's Do It Again                                                                                        | 1953 |      0 |           0
  3389 | Let's Get Harry                                                                                          | 1986 |      0 |           0
 49276 | Let's Go to Prison                                                                                       | 2006 |    3.1 |       24118
  5396 | Let's Make Love                                                                                          | 1960 |      0 |           0
 25865 | Letters from Iwo Jima                                                                                    | 2006 |    3.8 |       73433
  5373 | Letyat zhuravli                                                                                          | 1957 |    4.2 |        1056
  4618 | Leviathan                                                                                                | 1989 |    2.7 |        1532
  2686 | Le violon rouge                                                                                          | 1998 |    3.9 |        7025
  6285 | Levity                                                                                                   | 2003 |      3 |        1220
 59382 | Le voyage du ballon rouge                                                                                | 2007 |    3.4 |        1609
  6339 | L'homme du train                                                                                         | 2002 |    3.7 |        1127
  5100 | L'homme qui aimait les femmes                                                                            | 1977 |    3.9 |        1035
 32657 | L'homme qui plantait des arbres                                                                          | 1988 |      0 |           0
  1485 | Liar Liar                                                                                                | 1997 |    3.4 |       93496
 25826 | Libeled Lady                                                                                             | 1936 |      0 |           0
 31112 | Libertarias                                                                                              | 1996 |      0 |           0
  3078 | Liberty Heights                                                                                          | 1999 |    3.4 |        1048
  5824 | Liberty Stands Still                                                                                     | 2002 |      0 |           0
 53476 | L'iceberg                                                                                                | 2005 |    3.6 |         492
  2990 | Licence to Kill                                                                                          | 1989 |    3.1 |       12088
  4520 | License to Drive                                                                                         | 1988 |      3 |        3880
 53974 | License to Wed                                                                                           | 2007 |    3.2 |      197792
  4765 | L.I.E.                                                                                                   | 2001 |    3.7 |        1868
  4707 | Liebestraum                                                                                              | 1991 |    3.1 |         260
  6775 | Life and Debt                                                                                            | 2001 |    4.1 |         552
  4880 | Life as a House                                                                                          | 2001 |    3.8 |       11735
  2202 | Lifeboat                                                                                                 | 1944 |    3.8 |        2621
  2317 | Life During Wartime                                                                                      | 1997 |      0 |           0
  2377 | Lifeforce                                                                                                | 1985 |      0 |           0
  1080 | Life of Brian                                                                                            | 1979 |    3.9 |       40453
  5324 | Life or Something Like It                                                                                | 2002 |    2.8 |        6498
  6203 | Life Stinks                                                                                              | 1991 |    2.9 |        1450
  7058 | Life with Father                                                                                         | 1947 |      0 |           0
   486 | Life with Mikey                                                                                          | 1993 |    2.8 |        1377
  3050 | Light It Up                                                                                              | 1999 |    3.6 |        1219
  8954 | Lightning in a Bottle                                                                                    | 2004 |    3.6 |         343
   487 | Lightning Jack                                                                                           | 1994 |    2.8 |        2199
  2755 | Light of Day                                                                                             | 1987 |    3.1 |         311
  4127 | Like Father Like Son                                                                                     | 1987 |      0 |           0
  5458 | Like Mike                                                                                                | 2002 |    2.8 |        7917
  4261 | Lilies - Les feluettes                                                                                   | 1996 |      4 |         517
  4187 | Lilies of the Field                                                                                      | 1963 |      0 |           0
  5762 | Lili Marleen                                                                                             | 1981 |    3.8 |         317
  6291 | Lilja 4-ever                                                                                             | 2002 |    4.1 |        4008
  5444 | Lilo & Stitch                                                                                            | 2002 |    3.2 |       36598
  6553 | L'imbalsamatore                                                                                          | 2002 |    3.5 |         350
  2682 | Limbo                                                                                                    | 1999 |    3.5 |         169
  3559 | Limelight                                                                                                | 1952 |      0 |           0
 50583 | Linda Linda Linda                                                                                        | 2005 |      4 |         833
 26696 | Lionheart                                                                                                | 1990 |      3 |        2754
  5196 | Lion of the Desert                                                                                       | 1981 |      0 |           0
 55946 | Lions for Lambs                                                                                          | 2007 |    3.1 |       54996
  6903 | Lipstick                                                                                                 | 1976 |      3 |         279
  6094 | Liquid Sky                                                                                               | 1982 |    3.5 |        1091
  3630 | Lisa e il diavolo                                                                                        | 1974 |        |            
   569 | Little Big League                                                                                        | 1994 |    2.9 |        2288
  3037 | Little Big Man                                                                                           | 1970 |    3.8 |        3720
  8799 | Little Black Book                                                                                        | 2004 |    2.8 |       12215
  1890 | Little Boy Blue                                                                                          | 1997 |      0 |           0
   365 | Little Buddha                                                                                            | 1993 |    3.1 |        2898
 25773 | Little Caesar                                                                                            | 1931 |    3.6 |        1977
 48696 | Little Children                                                                                          | 2006 |    3.7 |       34155
  1782 | Little City                                                                                              | 1997 |      0 |           0
  5197 | Little Darlings                                                                                          | 1980 |    3.4 |        1497
  5059 | Little Dieter Needs to Fly                                                                               | 1997 |    4.1 |        1132
 39703 | Little Fish                                                                                              | 2005 |    2.8 |        6910
  6559 | Little Giants                                                                                            | 1994 |    3.1 |        9092
   961 | Little Lord Fauntleroy                                                                                   | 1936 |      0 |           0
 46865 | Little Man                                                                                               | 2006 |    3.1 |       78948
  4787 | Little Man Tate                                                                                          | 1991 |    3.2 |        2824
  1877 | Little Men                                                                                               | 1997 |    3.5 |          85
 30994 | Little Miss Marker                                                                                       | 1934 |        |            
 46578 | Little Miss Sunshine                                                                                     | 2006 |      4 |      163418
  4619 | Little Monsters                                                                                          | 1989 |      0 |           0
  8238 | Little Murders                                                                                           | 1971 |    3.7 |         356
  2800 | Little Nemo: Adventures in Slumberland                                                                   | 1989 |      0 |           0
  3979 | Little Nicky                                                                                             | 2000 |    3.1 |       32660
  4521 | Little Nikita                                                                                            | 1988 |    3.1 |        1024
   268 | Little Odessa                                                                                            | 1994 |    3.5 |         985
  2390 | Little Voice                                                                                             | 1998 |    3.4 |        2979
   261 | Little Women                                                                                             | 1994 |      0 |           0
  2991 | Live and Let Die                                                                                         | 1973 |    3.3 |       13025
  8663 | Live Forever                                                                                             | 2003 |      0 |           0
    45 | Live Free or Die Hard                                                                                    | 2007 |    3.9 |     1145097
   467 | Live Nude Girls                                                                                          | 1995 |    3.2 |         368
  6680 | Live Nude Girls Unite!                                                                                   | 2000 |    3.8 |         355
  6417 | Live Wire                                                                                                | 1992 |      0 |           0
   176 | Living in Oblivion                                                                                       | 1995 |    3.8 |        1878
  2331 | Living Out Loud                                                                                          | 1998 |    3.4 |         845
   614 | Loaded                                                                                                   | 2008 |      0 |           0
  3208 | Loaded Weapon 1                                                                                          | 1993 |    2.8 |        4689
  1238 | Local Hero                                                                                               | 1983 |    4.1 |        2127
 26249 | Lo chiamavano Trinità...                                                                                 | 1970 |    3.7 |        1690
  6164 | Lockdown                                                                                                 | 2000 |        |            
  2542 | Lock, Stock and Two Smoking Barrels                                                                      | 1998 |      4 |       81696
  4620 | Lock Up                                                                                                  | 1989 |      0 |           0
   683 | L'oeil de Vichy                                                                                          | 1993 |      0 |           0
  2528 | Logan's Run                                                                                              | 1976 |    3.3 |        9250
 39402 | Loggerheads                                                                                              | 2005 |    2.8 |        4784
  6675 | Loin                                                                                                     | 2001 |      0 |           0
  5763 | Lola                                                                                                     | 1981 |    3.9 |         529
  8143 | Lola Montès                                                                                              | 1955 |    3.8 |         488
  2692 | Lola rennt                                                                                               | 1998 |    3.8 |       33702
  2025 | Lolita                                                                                                   | 1962 |    3.7 |       11593
 43908 | London                                                                                                   | 2005 |    2.9 |        7900
  3737 | Lonely Are the Brave                                                                                     | 1962 |      0 |           0
 50858 | Lonely Hearts                                                                                            | 2006 |    3.2 |        4965
 26649 | "Lonesome Dove"                                                                                          | 1989 |        |            
 40887 | Lonesome Jim                                                                                             | 2005 |    2.9 |       12480
   800 | Lone Star State of Mind                                                                                  | 2002 |      0 |           0
  4950 | Lone Wolf McQuade                                                                                        | 1983 |    3.4 |        1315
  8650 | Long Day's Journey Into Night                                                                            | 1962 |    3.9 |         807
 56744 | Longford                                                                                                 | 2006 |      0 |           0
  4171 | Long Night's Journey Into Day                                                                            | 2000 |      4 |         115
  4216 | Longtime Companion                                                                                       | 1989 |    3.9 |         741
  6095 | Long xiao ye                                                                                             | 1982 |      0 |           0
  2880 | Long xiong hu di                                                                                         | 1987 |      0 |           0
 62153 | Look Back in Anger                                                                                       | 1959 |      0 |           0
 41721 | Look Both Ways                                                                                           | 2005 |    3.5 |        2027
  5764 | Looker                                                                                                   | 1981 |    3.2 |        1109
 42740 | Looking for Comedy in the Muslim World                                                                   | 2005 |    2.5 |        4171
  7095 | Looking for Mr. Goodbar                                                                                  | 1977 |      0 |           0
  1050 | Looking for Richard                                                                                      | 1996 |    3.6 |        1885
  4621 | Look Who's Talking                                                                                       | 1989 |    2.9 |       13369
  5452 | Look Who's Talking Now                                                                                   | 1993 |    2.5 |        9093
  7701 | Look Who's Talking Too                                                                                   | 1990 |    2.6 |        9775
  5765 | Looney, Looney, Looney Bugs Bunny Movie                                                                  | 1981 |      0 |           0
  6946 | Looney Tunes: Back in Action                                                                             | 2003 |    2.7 |        8974
  6560 | Loose Cannons                                                                                            | 1990 |    2.6 |         545
  8852 | Lord Jim                                                                                                 | 1965 |    3.3 |         613
  7182 | Lord Love a Duck                                                                                         | 1966 |      0 |           0
   177 | Lord of Illusions                                                                                        | 1995 |      3 |        2344
  3461 | Lord of the Flies                                                                                        | 1990 |    3.1 |        6608
 36529 | Lord of War                                                                                              | 2005 |    3.6 |       51125
 33672 | Lords of Dogtown                                                                                         | 2005 |    3.6 |       15495
  7009 | Lorenzo's Oil                                                                                            | 1992 |    3.5 |        2829
  2585 | Los amantes del Círculo Polar                                                                            | 1998 |    4.3 |        3613
  4924 | Lo sbarco di Anzio                                                                                       | 1968 |    3.1 |         972
  6404 | Lo sceicco bianco                                                                                        | 1952 |    3.6 |         726
  1107 | Loser                                                                                                    | 2000 |    2.6 |        5745
  1531 | Losing Chase                                                                                             | 1996 |      0 |           0
   271 | Losing Isaiah                                                                                            | 1995 |    3.6 |        2364
  4204 | Losin' It                                                                                                | 1983 |    2.7 |        1511
  6571 | Los lunes al sol                                                                                         | 2002 |    3.9 |        1360
 25963 | Los olvidados                                                                                            | 1950 |    4.4 |        1531
  6132 | Lo squartatore di New York                                                                               | 1982 |      0 |           0
  4389 | Lost and Delirious                                                                                       | 2001 |    3.8 |        3998
 62788 | Lost Boys: The Tribe                                                                                     | 2008 |      0 |           0
  2597 | Lost & Found                                                                                             | 1999 |    2.5 |        1416
  1464 | Lost Highway                                                                                             | 1997 |    3.9 |       17451
   944 | Lost Horizon                                                                                             | 1937 |      0 |           0
  4276 | Lost in America                                                                                          | 1985 |    3.5 |         869
  6062 | Lost in La Mancha                                                                                        | 2002 |    3.6 |        5216
  1831 | Lost in Space                                                                                            | 1998 |    2.5 |        8293
  6711 | Lost in Translation                                                                                      | 2003 |    3.6 |       84187
  5453 | Lost in Yonkers                                                                                          | 1993 |    3.4 |         491
  3956 | Lost Souls                                                                                               | 2000 |    2.6 |        2140
 51127 | loudQUIETloud: A Film About the Pixies                                                                   | 2006 |    3.8 |         484
 25942 | Louisiana Story                                                                                          | 1948 |    3.4 |         214
  3412 | L'ours                                                                                                   | 1988 |    3.6 |        2107
  6942 | Love Actually                                                                                            | 2003 |    3.1 |      191514
   270 | Love Affair                                                                                              | 1994 |    3.5 |        1260
   600 | Love and a .45                                                                                           | 1994 |      0 |           0
  5558 | Love and a Bullet                                                                                        | 2002 |      0 |           0
  3814 | Love and Death                                                                                           | 1975 |      4 |        4797
  1794 | Love and Death on Long Island                                                                            | 1997 |    3.2 |         643
  1493 | Love and Other Catastrophes                                                                              | 1996 |    3.8 |         270
 55190 | Love and Other Disasters                                                                                 | 2006 |    3.4 |        3576
  3554 | Love & Basketball                                                                                        | 2000 |    3.9 |       41056
  7148 | Love Don't Cost a Thing                                                                                  | 2003 |    3.1 |        6106
  2576 | Love, etc.                                                                                               | 1996 |    3.2 |         217
  4060 | Love Field                                                                                               | 1992 |    3.2 |         596
  8384 | Love Finds Andy Hardy                                                                                    | 1938 |      0 |           0
  8734 | Love Happy                                                                                               | 1949 |      0 |           0
  5987 | Love, Honour and Obey                                                                                    | 2000 |    4.1 |        2113
   178 | Love & Human Remains                                                                                     | 1993 |      0 |           0
   937 | Love in the Afternoon                                                                                    | 1957 |    3.8 |        2060
 56001 | Love in the Time of Cholera                                                                              | 2007 |    3.2 |       20459
  5807 | Love in the Time of Money                                                                                | 2002 |      3 |         203
  1045 | Love Is All There Is                                                                                     | 1996 |      0 |           0
  3414 | Love Is a Many-Splendored Thing                                                                          | 1955 |        |            
  2304 | Love Is the Devil: Study for a Portrait of Francis Bacon                                                 | 1998 |      0 |           0
  1477 | Love Jones                                                                                               | 1997 |    4.2 |        4854
  6002 | Love Liza                                                                                                | 2002 |    3.7 |        1656
  5450 | Lovely & Amazing                                                                                         | 2001 |    3.4 |        1223
  5550 | Love Me Tender                                                                                           | 1956 |      0 |           0
  4317 | Love Potion No. 9                                                                                        | 1992 |      0 |           0
  4622 | Loverboy                                                                                                 | 2005 |    2.7 |       12704
  8385 | Lover Come Back                                                                                          | 1961 |      0 |           0
  8757 | Lovers and Other Strangers                                                                               | 1970 |    3.4 |         328
  1585 | Love Serenade                                                                                            | 1996 |    3.6 |         297
  3885 | Love & Sex                                                                                               | 2000 |        |            
  3719 | Love's Labour's Lost                                                                                     | 2000 |    3.1 |         949
  2809 | Love Stinks                                                                                              | 1999 |    3.2 |        1225
  4296 | Love Story                                                                                               | 1970 |    3.5 |       10498
  6384 | Love the Hard Way                                                                                        | 2001 |    3.6 |         697
  1535 | Love! Valour! Compassion!                                                                                | 1997 |    3.6 |         899
  3480 | Lucas                                                                                                    | 1986 |    3.3 |        2546
 41014 | L'uccello dalle piume di cristallo                                                                       | 1970 |    3.7 |        1755
  5477 | Lucía y el sexo                                                                                          | 2001 |    3.9 |        6145
 61279 | Luci del varietà                                                                                         | 1950 |    3.6 |         271
  2833 | Lucie Aubrac                                                                                             | 1997 |    3.6 |         169
  5285 | Lucky Break                                                                                              | 2001 |    3.2 |         389
  3975 | Lucky Number Slevin                                                                                      | 2006 |      0 |           0
 52724 | Lucky You                                                                                                | 2007 |    2.8 |       26515
  5503 | L'ultimo bacio                                                                                           | 2001 |    3.8 |        2248
  2873 | Lulu on the Bridge                                                                                       | 1998 |      0 |           0
  5176 | Luminarias                                                                                               | 2000 |    3.1 |         147
  4384 | Lumumba                                                                                                  | 2000 |    3.9 |         339
  8454 | Luna Papa                                                                                                | 1999 |      0 |           0
   124 | L'uomo delle stelle                                                                                      | 1995 |    3.7 |         543
  5700 | L'uomo puma                                                                                              | 1980 |        |            
  3656 | Lured                                                                                                    | 1947 |      0 |           0
  6712 | Luster                                                                                                   | 2002 |    2.9 |         329
  8153 | Lust for Life                                                                                            | 1956 |      0 |           0
   666 | Lust och fägring stor                                                                                    | 1995 |      0 |           0
  6768 | Luther                                                                                                   | 2003 |    3.7 |        2529
  1260 | M                                                                                                        | 1931 |    4.3 |        9191
  7574 | Maboroshi no hikari                                                                                      | 1995 |      4 |         530
  7401 | Mac and Me                                                                                               | 1988 |    2.7 |        2264
  1070 | Macao                                                                                                    | 1952 |    3.4 |         169
  4917 | MacArthur                                                                                                | 1977 |      0 |           0
  3485 | Macchie solari                                                                                           | 1975 |      0 |           0
 27843 | Machuca                                                                                                  | 2004 |    4.1 |        1842
  3806 | Mackenna's Gold                                                                                          | 1969 |      0 |           0
  3829 | Mad About Mambo                                                                                          | 2000 |    3.1 |         674
  4176 | Madadayo                                                                                                 | 1993 |    3.9 |         918
 33615 | Madagascar                                                                                               | 2005 |    3.4 |      131512
 62999 | Madagascar: Escape 2 Africa                                                                              | 2008 |    3.7 |       89627
   983 | Madagascar Skin                                                                                          | 1995 |    3.5 |         295
  5838 | Madame Bovary                                                                                            | 1991 |    3.3 |         531
 43710 | Madame Curie                                                                                             | 1943 |      0 |           0
 32525 | Madame de...                                                                                             | 1953 |    4.3 |         591
  6540 | Madame Satã                                                                                              | 2002 |    3.7 |         461
  3496 | Madame Sousatzka                                                                                         | 1988 |    3.5 |         120
  1667 | Mad City                                                                                                 | 1997 |    2.9 |        2188
  7354 | Mad Dog and Glory                                                                                        | 1993 |      3 |        2359
  1313 | Mad Dog Time                                                                                             | 1996 |    2.9 |         429
  4452 | Made                                                                                                     | 2001 |    3.3 |        3264
  5907 | Madea Goes to Jail                                                                                       | 2009 |    3.8 |      153294
 43923 | Madea's Family Reunion                                                                                   | 2006 |    3.7 |       23761
  6513 | Made for Each Other                                                                                      | 1939 |      0 |           0
   489 | Made in America                                                                                          | 1993 |    2.5 |        4179
  4129 | Made in Heaven                                                                                           | 1987 |      0 |           0
  1919 | Madeline                                                                                                 | 1998 |    2.6 |        3549
 59333 | Made of Honor                                                                                            | 2008 |    3.4 |       79802
 33639 | Mad Hot Ballroom                                                                                         | 2005 |    3.8 |        2138
  7103 | Madhouse                                                                                                 | 2004 |      0 |           0
   179 | Mad Love                                                                                                 | 1995 |      0 |           0
  3702 | Mad Max                                                                                                  | 1979 |    3.4 |       17975
  3703 | Mad Max 2                                                                                                | 1981 |    3.5 |       18318
  3704 | Mad Max Beyond Thunderdome                                                                               | 1985 |    3.1 |       11185
 57370 | Mad Money                                                                                                | 2008 |    3.2 |       45502
  1191 | Madonna: Truth or Dare                                                                                   | 1991 |    3.2 |        2102
  5071 | Maelström                                                                                                | 2000 |      4 |          14
  5466 | Ma femme est une actrice                                                                                 | 2001 |    3.4 |         747
 44911 | Magic                                                                                                    | 1978 |    3.2 |        1627
 62378 | Magicians                                                                                                | 2007 |      0 |           0
 31447 | Magic in the Water                                                                                       | 1995 |    3.3 |         642
  3160 | Magnolia                                                                                                 | 1999 |    3.7 |       39673
  3682 | Magnum Force                                                                                             | 1973 |      0 |           0
  5943 | Maid in Manhattan                                                                                        | 2002 |    2.9 |       39640
  4130 | Maid to Order                                                                                            | 1987 |    2.8 |         763
  6931 | Mail Order Wife                                                                                          | 2004 |    3.5 |         426
 26662 | Majo no takkyûbin                                                                                        | 1989 |      0 |           0
 26142 | Major Dundee                                                                                             | 1965 |    3.3 |         808
  4623 | Major League                                                                                             | 1989 |    3.3 |       13020
  1863 | Major League: Back to the Minors                                                                         | 1998 |    2.6 |        1952
 26870 | Major League II                                                                                          | 1994 |    2.8 |        4428
